 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Subgrupo proced. e Ano/mês processamento
Período:Jan/2008-Ago/2020
"Subgrupo proced.";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"0415 Outras cirurgias";6001308,62;12918636,17;16554271,75;17040085,07;19284013,97;21683198,63;22741441,96;24150571,58;26096553,11;24728850,63;22717111,24;28272893,33;27650109,93;29532204,24;35991656,31;33488098,21;36475755,57;38123904,07;41313741,05;42869522,32;43766053,73;46141018,08;46261543,26;44118768,98;44155234,40;46605471,60;50970746,99;52612953,46;54059613,33;54322930,50;56577576,41;58839420,79;57799412,75;58284570,89;61251866,13;59043269,87;58311930,03;61709488,29;60789373,90;62864807,59;66229634,73;65408063,38;70427628,22;70543739,09;73434339,15;75596021,87;72808478,28;74217599,74;69838566,44;68400124,40;78342886,35;74005118,80;77425332,55;76594840,03;82513258,45;82828697,02;80797819,83;81776741,98;82621948,19;76800731,45;79764110,19;79754574,14;87796525,78;92082487,50;96696930,75;94803887,10;101098963,06;102906202,08;106647789,88;110489883,94;103634232,52;103058381,85;104315719,80;103962014,60;102881879,30;105393447,55;112762978,21;109833388,25;118658713,51;121640882,85;122447694,51;124408718,89;119458884,45;117139354,90;113723879,16;111858761,42;122644924,64;120332067,06;123267068,49;129666541,14;134219257,58;135857671,50;134831291,71;131888354,24;133598926,24;129669282,88;125032940,71;124356179,33;133542982,84;130559882,14;137924818,40;145214479,68;146473303,84;146138542,52;143477513,18;144370265,40;140866400,67;144556560,32;137740407,78;133580407,25;149618469,66;138764609,67;150924485,80;145860090,59;152444752,28;153935985,61;151093583,85;152061836,94;149139117,97;146164358,91;151062082,26;143220359,57;153602429,54;155357705,38;156450316,32;157737980,80;160462525,46;166253927,74;162460257,81;163425543,54;157589099,15;154934187,28;163600185,16;162891580,79;161986805,44;163580691,21;170639265,38;168008412,95;176620819,07;179024494,75;177645772,04;187562114,82;179203853,48;172746923,11;174025493,03;173625076,09;177017200,48;150116140,99;152215025,21;144300381,21;160228996,76;159738441,14;15811103283,66
"0416 Cirurgia em oncologia";7730151,60;11278199,60;13649518,66;13363398,85;13881236,82;14778892,46;16078112,88;14963890,86;14988213,46;13350266,36;12320163,35;14984202,53;13109867,29;12837938,56;14287311,64;14404970,03;14572978,05;14770839,45;15309966,15;14455686,93;14932094,32;14929981,42;14560601,99;14641395,97;13479542,21;13050075,61;14741443,61;14913555,56;14590417,50;14632261,97;15056617,77;14602208,87;14383281,45;14654281,63;14634579,02;14413193,35;13314555,97;13746905,18;14110815,16;14120735,05;15785592,07;14748969,79;15726829,55;15206068,53;14368578,02;14745706,19;13667618,66;14411810,28;13384688,73;13191505,47;14892493,24;15399357,22;15265168,29;14900449,53;15291668,09;14982073,79;15126321,97;14703558,10;14977205,84;14002536,07;18580810,43;24455078,65;31434654,01;35028181,67;37567508,34;35814112,84;36697359,63;37797082,50;36615418,67;37898628,92;36142894,44;34340862,72;33428169,45;33440068,71;32835107,36;34318783,90;35531005,46;34666395,17;36621946,71;37631365,63;38229502,18;39124603,76;38195375,54;34921869,68;32997192,54;34681979,36;36925688,57;36703172,52;37643516,24;37917066,16;39018787,60;40579928,28;38033381,93;38627751,31;38506065,53;37108047,42;33213079,19;35288961,40;37320194,92;36771470,79;38244270,97;40200016,82;40921189,21;41019564,08;38992914,67;38696524,34;38223129,03;40085759,01;37539164,82;38545402,16;41319835,32;39954593,32;43187816,42;42423458,73;42407489,36;43835918,93;42058110,93;42530948,12;41582546,63;41566717,21;39855167,09;39005642,19;42682986,65;44233257,23;42167166,98;42007633,84;42651592,95;46358828,43;44234265,13;43264138,38;42437418,96;41934119,50;41501164,64;42844089,48;42050608,69;44414624,01;44149018,33;44826532,74;46599381,59;46439799,80;45300844,85;49597804,86;46441795,06;41864334,79;43724445,83;42969148,83;44131975,76;38706350,95;38425731,49;34864175,01;38899616,75;39974992,46;4461949642,03
"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";-;-;-;-;-;-;-;-;-;-;5103,01;110050,28;179705,35;234165,95;159002,79;183932,26;208399,88;177989,55;242921,38;193626,88;204377,76;133311,13;191225,25;182830,52;150675,20;138857,44;134852,10;139003,99;188721,04;153782,08;184240,41;218966,78;189703,40;230834,95;239504,07;225291,86;190537,30;189921,93;249495,97;235289,39;209257,02;184947,51;227120,93;209897,11;243051,52;265745,58;306233,36;265336,71;206278,91;209179,27;210748,16;235760,94;253699,78;237103,55;216428,66;198717,04;223398,95;241369,04;223485,70;253924,21;309352,37;296062,71;228654,78;249647,88;349257,70;264350,22;208864,82;291827,60;249352,24;342785,23;279928,31;272262,52;270189,21;248944,91;320263,70;227037,61;295034,60;293363,91;356157,23;285179,68;299406,59;339063,92;328527,48;249675,58;373304,42;263530,83;288230,44;341630,10;260173,79;297912,38;287855,70;299476,99;301359,12;261331,72;399173,03;237754,83;344602,08;305187,24;332113,50;350217,40;313218,45;379541,96;353012,51;384527,10;283900,22;410370,61;326191,63;393142,31;304855,13;279021,45;392888,24;384104,76;369795,93;394249,30;382193,52;407442,92;298038,31;320521,03;369668,79;307948,85;316805,05;301145,73;355335,39;281570,55;311231,87;367783,39;361469,09;379329,27;349992,14;290042,18;286895,15;430801,22;262011,29;303861,07;285064,28;339942,69;298185,39;364931,83;297267,66;328155,78;369396,91;349943,52;306203,35;274172,64;326195,23;376593,02;323882,53;284886,23;204757,74;206460,82;293276,49;250854,01;39020124,75
"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";560609,69;1052044,32;1472212,80;1429978,31;1366008,30;1389668,04;1464434,89;1280270,70;1428685,35;1360320,67;1664945,40;1100986,84;1105569,33;1159445,18;1275320,90;1178876,08;1303550,16;1320580,83;1291308,31;1228590,04;1158960,99;1295360,98;1838386,95;1963147,08;1810887,70;1730738,29;2106411,36;2103566,73;1917643,72;1865757,10;2043692,27;2062578,42;2000914,69;2189801,87;1900156,35;1442247,30;1985174,79;2135399,15;1957295,61;1956823,40;2429192,62;1919518,04;2774171,42;2515015,82;2313947,97;2329036,72;2625971,02;2322816,25;2233149,54;2389981,76;2331987,83;2588134,69;2479160,98;2539206,96;2221854,26;2811441,86;2664227,25;2850244,83;2862010,61;2330716,75;2766277,45;2917535,23;2933782,99;1974248,94;3880841,02;3039842,41;2914558,19;2884717,63;3297171,77;2909972,20;3341198,00;2750037,74;3318339,05;2970239,73;2415585,30;2926168,67;3272626,53;3836267,66;3422250,18;3782634,71;3095128,43;3434968,62;3488967,88;3226862,28;3358500,05;2882233,95;3419368,07;3208551,62;3252413,86;3521446,71;3414386,00;3587934,27;3674366,36;2931205,72;3456862,89;3544518,93;3059729,93;3364896,64;3434090,57;3232896,06;3378630,22;3894093,33;3920185,95;3907339,50;3859280,48;3599148,72;3550240,90;3327966,18;3371380,85;3587076,18;4022653,48;3670183,24;4305185,69;4011004,50;4163304,49;4195106,04;4166223,99;3991658,76;3758918,91;3763190,30;4086392,17;3735118,18;4083361,76;4216423,38;4263974,44;4009515,50;4145300,86;4203297,83;4104140,24;3970751,29;4479214,95;3645949,53;4451326,72;3580561,08;4005385,49;3813204,11;4182893,90;3894872,01;4627382,17;4609922,65;4093991,53;4876386,08;4492392,83;4567352,64;4863422,84;4970864,89;4619355,85;3186064,49;3085396,83;2959397,68;3128967,89;3354984,54;447324100,37
"0504 Processamento de tecidos para transplante";-;14029,17;10340,00;5860,00;4080,00;4760,00;3400,00;3060,00;3060,00;9668,00;5100,00;5572,80;174657,60;75340,80;45878,40;98690,40;101995,20;94061,60;104204,00;103405,60;135855,20;93636,80;87072,00;84412,80;78168,00;87213,60;104022,40;59175,20;64997,60;109805,60;64760,00;54714,40;42676,00;50688,00;30608,00;41864,80;35791,20;44968,00;41641,60;28153,60;22284,80;51118,40;40400,80;91361,60;55579,20;66055,20;59219,20;62735,20;82627,20;81192,80;70709,60;93492,80;83209,60;83266,40;110423,20;142164,80;161193,60;177232,00;132739,20;135174,40;195039,20;152567,20;122929,60;105642,40;106859,20;43837,60;83052,00;96224,00;89734,40;108339,20;101358,40;69735,20;71589,60;109933,60;62251,20;53780,00;71020,00;40654,40;90652,00;97916,00;77106,40;143218,40;116153,60;119976,00;93844,00;51656,00;86359,20;141266,40;110690,40;143806,40;110864,00;178124,80;141301,60;151889,60;98228,80;94243,20;101075,20;153182,40;116006,40;140280,00;121900,00;195268,00;186808,80;119405,60;168804,00;195281,60;212908,00;178451,20;194486,40;131564,00;239078,40;159284,80;287690,40;243256,80;245442,40;129912,80;167979,20;129724,80;107808,80;167646,40;171161,60;154739,20;131218,40;130144,80;136684,80;245124,80;109730,40;199172,80;166767,20;164562,40;157604,80;126917,60;128796,80;114611,20;180990,40;143619,20;125147,20;158886,40;124965,60;146764,80;145548,00;126022,40;214036,80;128092,80;128709,60;178520,80;128396,80;50288,80;63740,80;32659,20;22411,20;34840,80;16105537,17
"0505 Transplante de orgãos, tecidos e células";7523687,41;13279150,61;12807980,66;13786659,54;14000397,04;16472162,44;15282067,78;13658367,45;16218924,56;12762847,31;18122775,54;21506945,89;18916479,87;18029944,63;18053987,24;18708353,30;19222248,65;18122230,42;18695244,38;21387505,41;16741888,14;18226915,94;19245989,37;20857649,59;18231242,70;17577372,31;19488116,82;20860326,94;21088426,70;20697560,46;17683160,80;20124304,86;18361892,30;16999246,22;19946010,69;21271355,06;19970556,99;19940446,04;21845445,79;21998244,73;20998290,69;25287372,91;24880640,79;25736169,86;24231394,83;24448115,12;28142765,81;23677280,24;23878866,37;21896937,04;25460566,90;23671170,85;26777434,23;25592311,35;29222977,79;31695938,49;32512922,61;33352745,70;33807756,69;30151897,20;32128810,30;33873786,55;36101656,14;40715749,91;40539732,46;35663653,30;40270205,41;37304576,12;37606962,73;37954102,89;41268345,60;39345632,04;35187418,66;37449189,22;36962411,72;41222920,29;42744240,31;40755227,67;43381022,62;45068721,25;38996253,16;40976671,85;35887965,41;38552091,28;37842819,15;35986727,15;36566308,51;37636105,25;39344670,02;39120231,83;40092076,18;39704541,11;42884912,33;38741759,27;40500106,99;37739927,60;37883760,47;38671110,47;42306363,56;39095722,13;39745825,29;41374548,70;44969827,06;45415535,85;43487106,36;43647196,98;40051897,01;44697163,51;37577865,81;38633697,97;44054766,57;47605003,31;47829351,47;45187742,34;48411198,23;48865149,58;45176407,31;48069879,58;45919773,36;42514378,11;46611094,68;44389186,14;45125903,66;48705704,83;50365052,00;50442626,13;44677298,52;48660409,89;44543457,16;47225513,12;47924821,01;44464127,73;47731446,10;44842388,90;46715503,01;49368364,32;47237957,90;48116888,93;55185907,08;51913775,30;48425344,12;54519908,37;51886617,85;49948502,45;57438457,00;52211998,85;49012810,01;37779279,79;30197559,37;35140428,06;38355965,96;36703257,81;5186314027,41
"0506 Acompanhamento e intercorrências no pré e pós-transplante";1233821,07;1712369,51;2471306,81;2027644,67;2276906,67;2824616,14;2432308,06;2482506,04;2639876,35;2408849,07;2345003,40;3076040,00;3018496,00;2823308,66;2751325,36;3050182,34;3185603,09;3063600,51;3103201,93;3271978,68;3220007,35;3413845,83;2961950,08;3336276,65;3281371,67;2857046,34;3300780,09;3586133,38;3338613,54;3347728,69;3551765,72;3554704,41;3642557,72;3514627,58;3433037,13;3556487,26;3460809,17;3577207,04;3463069,80;3663436,49;3333055,23;3640652,03;3737328,67;3893241,22;3717891,71;3579600,49;3889126,18;4054513,80;3254853,12;3486046,24;3887772,54;3324346,11;4011042,66;3888310,77;3859737,13;4485732,11;4099395,52;3778188,06;4214942,31;4016489,52;4961479,20;4614804,69;4402729,17;4875350,02;5022566,19;4670958,12;5016983,45;4992189,24;4675112,17;5227046,50;5106620,06;4514632,40;5030578,01;4789113,37;4956971,53;4829008,20;5565346,95;5055573,74;5458271,76;5721474,04;5663958,33;5212584,98;5012875,96;5130802,04;4998918,10;5046811,09;6047402,54;5670987,50;6183524,29;5801455,37;5426409,48;5639356,56;5835375,47;5519621,49;5790881,23;5255206,17;5410599,86;5144645,54;6384931,64;6153407,90;6181242,63;6112460,71;5665531,02;6071519,07;6156020,63;5454300,63;5643042,28;6462947,22;5831616,88;5281911,78;6315021,69;6129694,82;6504794,64;5928597,36;7035745,25;7128694,53;6664094,48;6683378,79;6510159,96;6360564,77;6866169,38;6090319,26;6724444,55;7228018,10;7171769,62;7609432,40;7211785,43;7782702,92;6800335,50;6861034,07;6799622,79;6594627,40;7547209,10;6988150,08;7020485,69;7566909,17;7536216,23;7399816,15;7686477,42;8054287,30;7509886,40;7562495,44;7612920,77;7134042,49;7846296,59;7756711,93;7493858,72;6587176,66;6160432,56;6444584,02;6073077,86;5048172,63;758120037,84
"Total";408424859,23;613174269,21;664043058,38;686662861,42;715803639,49;752181563,64;764990284,76;750608648,28;752962642,15;733019065,83;668217112,19;775967936,72;750048621,47;756580984,60;841883163,67;825105702,99;865829006,02;852678163,21;880502474,71;892842134,58;873464467,51;875334799,09;869113618,52;841535492,90;852122488,89;808077868,10;890979883,27;902232888,98;914272019,18;890961283,39;911969093,24;931719029,98;906417815,92;896468825,34;925035608,16;910497564,03;892847303,12;884086911,42;932602653,02;940522457,53;948998132,79;938678314,96;983107236,67;960806905,24;963424009,31;964910919,88;952446801,10;945980820,15;918113192,67;900866905,04;990762955,07;957617712,15;1005719346,28;992473295,33;1011576096,62;1019945214,97;981455178,00;988862272,07;971962883,27;916766270,30;970771875,05;951988831,08;1014947867,61;1068797389,90;1095601589,12;1055013842,13;1109874484,86;1114566231,49;1097138530,42;1114110815,42;1065389149,58;1040159311,04;1073036456,41;1045983018,53;1056226871,45;1075172529,69;1143780931,69;1105617906,86;1166470112,11;1174196840,39;1160045625,96;1166760502,20;1126670624,77;1076446205,60;1097304031,31;1062267532,26;1145818906,77;1142901983,63;1167506052,47;1175384991,29;1204103667,59;1191449093,15;1179032733,69;1160339646,43;1149862166,83;1112012036,42;1103036733,54;1100574210,05;1167279265,94;1157783805,43;1183773531,02;1206461941,50;1214170276,07;1231014106,95;1176283472,86;1171270060,83;1138321585,77;1151134487,98;1140451128,38;1096974376,81;1213219782,09;1162847473,86;1257999444,55;1211182758,87;1254024061,19;1267479837,22;1237137847,98;1250387855,02;1225045404,11;1201828188,24;1218528578,16;1160580637,71;1249570771,57;1265569345,19;1279917419,73;1272860439,09;1301522302,13;1316621937,02;1272529253,15;1295988511,56;1254250943,37;1218448068,38;1288274303,46;1226614760,98;1274394154,87;1300440623,42;1357406940,64;1308302989,52;1373192361,38;1379322215,44;1336763817,20;1381299888,94;1313607369,36;1275299183,98;1327012673,40;1285698862,52;1285028958,07;1107368830,53;1193228111,21;1277909850,50;1471378812,46;1469130891,63;161830758554,04
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
